Date,Store,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
2015-02-08,37,5,41467.18,24.79,4.44,272.54,8.33,1
2015-02-09,7,13,51237.0,37.2,3.38,297.32,4.23,0
2015-02-10,21,14,43253.43,35.39,4.69,253.13,8.49,0
2015-02-11,9,3,69318.34,20.08,3.1,273.17,5.65,0
2015-02-12,39,15,74311.61,25.99,3.23,235.06,7.07,0
2015-02-13,18,19,44171.85,22.79,2.77,259.96,7.84,0
2015-02-14,4,17,25325.44,2.68,3.34,211.53,7.3,0
2015-02-15,25,3,54764.71,6.35,4.96,281.49,10.28,0
2015-02-16,14,16,54223.92,38.55,3.72,234.43,3.9,1
2015-02-17,9,14,51578.18,10.24,4.49,208.0,4.51,0
2015-02-18,26,12,57994.29,15.38,2.79,299.06,4.41,0
2015-02-19,2,12,70722.92,20.36,4.87,290.18,10.35,0
2015-02-20,20,11,62494.58,39.17,2.04,219.74,4.06,0
2015-02-21,28,17,57971.53,27.6,4.79,236.32,11.74,0
2015-02-22,47,8,61308.73,25.18,4.69,293.67,11.72,0
2015-02-23,7,17,53772.14,20.98,2.2,279.63,11.93,0
2015-02-24,44,11,35818.39,28.03,3.81,290.64,11.82,0
2015-02-25,8,2,71756.85,26.56,4.36,256.25,4.34,0
2015-02-26,47,10,51538.75,36.11,3.21,224.31,8.92,0
2015-02-27,35,10,35810.91,21.67,2.28,222.71,6.6,1
2015-02-28,14,11,33080.32,16.86,4.49,252.57,9.59,0
2015-03-01,17,6,36233.01,32.29,3.4,292.4,6.65,0
2015-03-02,36,4,31509.42,31.99,2.79,263.16,6.45,0
2015-03-03,40,12,60033.27,6.79,2.21,203.44,11.14,1
2015-03-04,4,11,47373.33,9.47,3.92,256.05,7.45,0
2015-03-05,2,13,61640.07,38.35,2.13,260.84,9.66,0
2015-03-06,6,5,67542.1,17.76,4.37,258.16,8.85,0
2015-03-07,42,6,63661.73,20.79,4.31,269.11,8.92,0
2015-03-08,4,1,59510.35,12.41,2.97,229.35,6.14,0
2015-03-09,29,6,54312.94,19.24,3.42,214.38,5.27,0
2015-03-10,18,18,47144.55,29.73,4.01,275.0,10.97,0
2015-03-11,26,9,48145.31,19.29,4.88,219.64,3.22,0
2015-03-12,44,15,58765.45,12.59,3.56,211.42,4.56,0
2015-03-13,34,8,35580.27,3.84,4.99,235.94,4.2,0
2015-03-14,10,19,49191.73,37.13,2.98,283.28,11.54,1
2015-03-15,36,16,38857.37,34.87,3.58,208.21,3.05,1
2015-03-16,14,6,67594.73,31.65,2.35,219.56,3.07,0
2015-03-17,31,6,60755.86,27.76,3.67,247.53,5.04,0
2015-03-18,48,3,82061.82,20.62,3.61,228.76,5.51,0
2015-03-19,15,10,38634.48,35.9,4.55,272.17,8.04,0
2015-03-20,8,1,40242.89,31.67,4.99,267.49,11.65,1
2015-03-21,14,14,50862.52,32.64,4.96,284.25,7.19,1
2015-03-22,23,4,39118.12,12.38,2.71,220.38,5.6,0
2015-03-23,40,12,58064.3,16.94,3.02,264.89,10.35,0
2015-03-24,21,6,49235.7,28.27,2.82,277.47,6.47,0
2015-03-25,16,11,42672.04,14.84,2.6,206.27,4.28,0
2015-03-26,45,12,66314.07,19.76,2.45,203.68,10.15,0
2015-03-27,18,10,22256.17,25.86,3.54,255.93,3.02,0
2015-03-28,47,18,58131.7,17.51,4.62,258.79,4.85,0
2015-03-29,24,7,41733.01,31.72,3.77,239.28,8.72,0
2015-03-30,26,7,62251.35,4.65,4.62,203.61,3.92,0
2015-03-31,25,11,65843.84,28.72,4.88,240.19,5.3,0
2015-04-01,45,4,15854.74,5.81,3.15,264.21,6.54,0
2015-04-02,41,1,46825.66,37.51,4.51,270.19,6.57,0
2015-04-03,29,13,50872.87,12.56,2.16,249.28,11.76,0
2015-04-04,15,18,14632.46,31.82,3.44,252.5,9.08,0
2015-04-05,45,9,53416.26,20.86,3.1,267.27,3.33,0
2015-04-06,1,9,42079.21,3.64,2.61,244.93,4.99,0
2015-04-07,25,9,31914.09,23.3,3.32,226.35,8.55,1
2015-04-08,7,10,40242.66,36.49,3.33,222.3,9.42,0
2015-04-09,9,2,37650.3,6.29,4.43,275.28,6.43,0
2015-04-10,24,6,41437.14,12.85,4.61,248.75,10.71,0
2015-04-11,1,15,52776.85,17.57,3.97,262.41,11.49,0
2015-04-12,44,3,64718.7,11.0,3.9,247.11,8.53,0
2015-04-13,8,11,48832.46,37.75,2.33,281.88,8.06,0
2015-04-14,24,6,66541.37,15.1,3.73,249.68,9.76,0
2015-04-15,11,3,34310.64,26.32,2.82,298.81,10.04,0
2015-04-16,17,11,52293.34,8.96,2.88,224.26,4.94,0
2015-04-17,8,15,81599.17,8.79,2.28,213.85,7.35,1
2015-04-18,35,13,26141.53,7.03,3.91,237.36,7.03,0
2015-04-19,35,10,25568.63,17.39,3.75,291.87,11.47,0
2015-04-20,33,6,69199.58,21.31,2.66,285.23,4.01,0
2015-04-21,5,15,53307.88,0.43,2.79,224.74,11.49,0
2015-04-22,42,18,40977.5,33.32,4.32,259.97,8.15,0
2015-04-23,39,18,33054.9,20.51,4.38,258.89,5.59,0
2015-04-24,41,7,49460.17,6.29,3.48,229.34,10.82,0
2015-04-25,28,15,52003.69,2.69,2.45,223.54,3.45,0
2015-04-26,7,18,52077.91,2.53,2.17,239.0,5.87,0
2015-04-27,9,18,32908.29,10.31,2.81,278.86,9.77,0
2015-04-28,8,9,44945.77,19.97,4.19,219.17,10.45,0
2015-04-29,12,2,41478.76,34.41,3.8,244.57,4.51,0
2015-04-30,34,8,59696.66,36.12,4.15,248.17,11.48,0
2015-05-01,33,2,33793.26,33.29,3.42,293.91,3.48,0
2015-05-02,48,11,51140.42,13.14,4.26,230.35,6.9,1
2015-05-03,23,7,89513.4,12.26,3.44,201.96,3.88,0
2015-05-04,24,6,32769.04,39.5,2.25,269.37,3.88,0
2015-05-05,37,10,38791.06,27.25,2.24,275.58,11.23,0
2015-05-06,35,5,48592.06,12.2,4.49,270.3,11.14,0
2015-05-07,44,11,5866.18,13.16,3.89,270.07,8.54,0
2015-05-08,40,1,28597.59,17.39,2.84,248.32,11.7,0
2015-05-09,22,2,54660.39,24.87,4.27,201.87,7.42,0
2015-05-10,27,1,47364.95,35.92,2.41,272.99,10.05,0
2015-05-11,35,19,65820.61,7.93,3.94,293.65,3.88,0
2015-05-12,1,2,46428.13,3.38,4.97,215.74,6.56,1
2015-05-13,35,4,45107.84,16.23,2.45,206.79,7.64,0
2015-05-14,37,12,39456.94,9.82,2.43,226.52,10.0,0
2015-05-15,47,18,44857.32,23.04,3.4,284.98,6.01,0
2015-05-16,14,1,31826.18,27.97,3.93,210.61,11.82,0
2015-05-17,3,1,47788.01,12.43,2.08,271.52,9.61,1
2015-05-18,1,14,35431.15,27.42,3.5,206.29,7.8,0
2015-05-19,5,4,31838.52,13.73,2.25,203.28,5.98,0
2015-05-20,26,5,40408.14,25.4,2.72,289.13,8.78,1
2015-05-21,14,11,56767.29,25.32,4.14,277.06,9.06,0
2015-05-22,39,13,52133.83,11.13,4.22,259.86,9.11,0
2015-05-23,27,16,60014.1,25.43,4.19,217.2,8.28,0
2015-05-24,9,13,36151.46,15.24,2.2,227.88,6.6,0
2015-05-25,15,2,49802.06,13.46,4.36,204.86,10.35,0
2015-05-26,15,16,75526.88,11.57,3.3,264.54,5.32,0
2015-05-27,26,6,70962.72,13.83,3.43,268.61,8.63,0
2015-05-28,42,14,30880.45,31.47,3.26,232.68,7.25,0
2015-05-29,13,1,34873.94,9.81,4.57,233.84,11.04,0
2015-05-30,32,17,75462.06,27.28,4.04,262.9,8.31,0
2015-05-31,39,11,56773.26,36.02,3.5,294.57,10.7,0
2015-06-01,49,19,47139.05,14.02,4.5,239.47,11.58,0
2015-06-02,32,3,45463.82,1.18,4.42,249.36,4.14,0
2015-06-03,4,11,53411.9,0.98,2.02,269.83,8.0,0
2015-06-04,30,5,53599.9,5.58,3.44,234.23,10.96,0
2015-06-05,37,17,42002.58,4.4,2.13,286.89,10.85,0
2015-06-06,23,7,47551.99,29.92,2.92,284.62,4.76,0
2015-06-07,39,10,41476.69,11.79,4.41,267.43,7.33,0
2015-06-08,45,11,52531.11,26.1,4.83,253.69,5.01,0
2015-06-09,15,3,38936.49,1.7,2.73,298.35,11.07,0
2015-06-10,43,10,30983.8,11.83,2.06,270.24,3.03,0
2015-06-11,29,10,72130.64,9.37,3.21,264.32,4.97,0
2015-06-12,36,14,48956.37,11.08,3.01,287.68,6.68,0
2015-06-13,13,12,75455.82,7.63,4.03,255.5,4.99,0
2015-06-14,32,15,21015.76,24.72,3.49,224.29,11.76,0
2015-06-15,7,10,28257.9,26.51,3.2,213.78,5.2,0
2015-06-16,22,10,57001.92,5.94,2.69,247.1,6.26,0
2015-06-17,28,19,48969.01,29.65,4.49,251.57,4.57,0
2015-06-18,2,1,32634.65,10.0,2.75,282.77,11.34,0
2015-06-19,42,10,67047.43,11.32,2.16,213.95,6.7,0
2015-06-20,45,2,36951.6,33.15,3.69,268.12,5.36,0
2015-06-21,6,17,67978.26,36.05,2.95,230.41,5.22,0
2015-06-22,28,7,48943.48,32.99,4.14,293.9,8.27,0
2015-06-23,28,7,33951.04,5.91,2.24,247.04,11.8,0
2015-06-24,44,9,39968.92,39.97,4.9,262.24,11.77,0
2015-06-25,44,2,70582.3,26.89,2.56,265.01,11.84,0
2015-06-26,20,14,45533.79,20.43,3.07,209.1,6.48,0
2015-06-27,30,17,64585.11,38.19,3.44,285.22,11.23,0
2015-06-28,11,1,71006.6,32.7,4.67,216.42,7.0,0
2015-06-29,28,9,48793.65,27.67,4.17,239.74,7.6,0
2015-06-30,25,19,46652.11,33.54,2.43,267.26,7.68,1
2015-07-01,39,4,43925.48,15.42,3.32,205.52,3.57,0
2015-07-02,33,8,55281.46,27.38,3.63,258.04,4.59,0
2015-07-03,1,13,72588.95,7.62,4.11,240.99,10.97,0
2015-07-04,27,4,31594.45,39.52,3.72,206.39,11.07,0
2015-07-05,13,9,53287.29,23.56,3.37,272.64,4.82,0
2015-07-06,41,9,52638.19,32.57,4.3,250.13,5.72,0
2015-07-07,3,18,22937.19,16.29,3.13,230.34,10.47,0
2015-07-08,39,12,36688.01,30.34,4.96,208.43,4.84,0
2015-07-09,6,10,39761.88,15.5,4.84,254.75,10.93,0
2015-07-10,8,11,61460.44,23.6,4.12,230.6,10.41,0
2015-07-11,27,7,64084.26,31.13,4.65,294.67,10.27,0
2015-07-12,9,9,21869.32,4.66,3.18,259.15,11.03,0
2015-07-13,37,6,59588.03,14.27,3.74,228.51,10.98,0
2015-07-14,33,19,57648.92,21.8,2.82,252.86,11.25,0
2015-07-15,42,16,58675.8,13.36,4.66,253.95,10.92,0
2015-07-16,44,15,52291.19,12.37,3.41,272.68,8.46,0
2015-07-17,24,7,64256.6,11.27,3.61,290.22,4.42,0
2015-07-18,15,16,67572.81,9.11,4.59,296.26,8.48,0
2015-07-19,32,5,25492.02,33.96,4.39,271.79,11.48,0
2015-07-20,32,16,49269.14,36.95,2.97,254.59,11.71,0
2015-07-21,24,1,46182.67,28.01,2.26,222.49,9.56,1
2015-07-22,41,19,41408.79,1.2,2.49,240.3,9.24,0
2015-07-23,49,5,43182.38,31.45,3.02,248.88,11.45,0
2015-07-24,49,7,52801.75,21.28,2.92,212.84,5.62,0
2015-07-25,12,19,30550.87,30.32,2.11,225.64,4.36,0
2015-07-26,39,5,60059.33,17.49,3.3,298.45,5.61,0
2015-07-27,2,17,44463.17,1.65,2.32,275.67,11.54,0
2015-07-28,3,8,63119.7,27.27,2.66,248.2,4.91,0
2015-07-29,49,1,40701.03,17.77,4.36,222.6,5.02,0
2015-07-30,37,2,39888.3,34.96,3.48,257.34,4.74,0
2015-07-31,49,15,35818.05,29.53,3.12,223.19,7.36,0
2015-08-01,17,18,40784.68,14.38,2.56,219.31,10.17,0
2015-08-02,49,11,37978.55,28.96,4.6,209.38,6.44,0
2015-08-03,2,10,56521.21,19.81,4.71,234.59,3.9,1
2015-08-04,2,4,65706.61,7.98,3.56,254.17,9.66,0
2015-08-05,28,5,55818.02,16.8,4.76,215.93,8.49,0
2015-08-06,23,4,48838.66,8.9,3.39,220.04,7.31,0
2015-08-07,37,13,57303.31,0.2,2.32,239.11,11.68,0
2015-08-08,32,13,49453.71,9.87,2.05,248.95,7.23,0
2015-08-09,33,18,50428.6,8.38,2.39,276.23,9.59,0
2015-08-10,1,2,45400.42,0.17,3.87,256.66,4.43,0
2015-08-11,19,16,62548.87,31.36,2.96,261.77,6.75,0
2015-08-12,2,1,11511.03,3.08,3.94,269.62,4.91,0
2015-08-13,44,19,18007.28,17.96,3.52,245.1,6.13,0
2015-08-14,26,9,65408.37,16.72,3.0,234.31,7.32,0
2015-08-15,32,3,47052.09,7.26,2.66,280.04,4.57,1
2015-08-16,6,7,63758.51,38.67,2.24,282.83,10.23,0
2015-08-17,32,10,40878.82,24.15,4.35,215.4,6.38,0
2015-08-18,4,1,75113.66,32.54,4.46,295.34,11.07,0
2015-08-19,11,10,47952.22,19.85,3.62,292.99,9.07,0
2015-08-20,17,9,56740.87,28.91,2.47,287.09,4.59,0
2015-08-21,38,15,43292.81,38.79,2.79,242.27,8.78,0
2015-08-22,24,15,36543.02,13.94,4.87,284.22,3.21,0
2015-08-23,5,3,23886.07,20.17,2.68,262.81,10.27,0
2015-08-24,34,5,61785.56,20.58,2.17,220.54,11.77,0
2015-08-25,6,9,55931.26,39.68,3.65,277.49,9.1,1
2015-08-26,22,9,51405.39,9.32,2.79,240.61,11.34,0
2015-08-27,11,7,32920.76,27.01,4.87,229.22,5.65,0
2015-08-28,48,12,71231.99,5.53,3.72,287.83,6.81,0
2015-08-29,16,9,51588.09,37.08,4.9,286.23,6.82,0
2015-08-30,33,6,60543.33,23.62,4.36,286.44,4.01,0
2015-08-31,9,2,49955.19,34.38,4.17,285.95,10.17,0
2015-09-01,6,9,33658.68,35.81,4.49,255.42,7.46,0
2015-09-02,16,17,64886.55,22.28,3.81,261.69,7.41,0
2015-09-03,29,1,56761.53,27.28,2.03,294.89,9.02,0
2015-09-04,3,19,47278.85,27.95,3.18,212.93,4.54,0
2015-09-05,20,6,56505.06,18.42,2.66,280.63,10.29,0
2015-09-06,36,5,62263.15,17.39,3.3,252.63,6.29,0
2015-09-07,19,2,59903.09,7.45,3.41,297.84,3.72,0
2015-09-08,26,9,24330.11,15.36,2.38,263.92,4.71,1
2015-09-09,3,14,27646.97,39.63,2.07,216.25,5.28,0
2015-09-10,19,4,60992.74,10.79,2.41,281.55,4.6,1
2015-09-11,20,4,39558.2,30.5,4.57,267.27,5.18,0
2015-09-12,32,15,34270.81,2.37,4.27,214.89,11.96,1
2015-09-13,7,8,55581.56,18.7,4.4,200.9,7.84,0
2015-09-14,41,4,33815.84,2.34,2.83,254.36,8.43,0
2015-09-15,33,16,42812.88,19.03,2.71,224.15,4.49,0
2015-09-16,40,4,62784.05,1.1,2.11,286.72,3.4,1
2015-09-17,39,16,27287.87,24.53,3.42,225.09,5.79,0
2015-09-18,18,12,29476.04,23.46,3.15,266.29,9.93,0
2015-09-19,40,16,25835.05,31.91,4.51,234.51,8.03,0
2015-09-20,1,19,37082.53,23.33,4.05,235.03,3.1,0
2015-09-21,11,8,51240.73,37.04,2.43,218.18,10.1,0
2015-09-22,28,6,40718.18,31.32,4.96,250.27,3.94,0
2015-09-23,25,10,72550.24,5.31,4.31,257.93,6.96,0
2015-09-24,23,5,56829.65,10.62,4.16,258.1,12.0,0
2015-09-25,31,18,49717.73,1.05,2.65,285.66,4.09,0
2015-09-26,30,10,69011.13,15.45,4.72,265.23,10.34,0
2015-09-27,42,10,30037.89,20.38,3.42,274.02,10.19,0
2015-09-28,35,7,62998.57,37.84,2.89,232.34,7.01,0
2015-09-29,7,18,46456.12,20.89,3.96,242.07,11.89,0
2015-09-30,16,1,43170.16,31.24,2.64,201.83,5.77,0
2015-10-01,26,7,59166.07,10.72,4.72,207.91,5.84,0
2015-10-02,48,1,43812.37,6.13,4.56,238.51,4.37,0
2015-10-03,49,15,52728.55,32.43,3.39,220.97,6.33,0
2015-10-04,2,4,48501.34,9.9,2.57,281.3,5.67,0
2015-10-05,1,10,54596.78,34.85,3.49,267.65,8.44,0
2015-10-06,48,9,42393.79,6.79,2.45,297.03,3.37,0
2015-10-07,12,2,63901.44,34.06,2.81,288.7,5.79,1
2015-10-08,5,14,19337.32,30.91,3.45,297.77,3.04,0
2015-10-09,37,16,59613.39,24.45,2.06,236.53,3.06,0
2015-10-10,32,1,21631.4,34.01,4.3,248.44,10.38,0
2015-10-11,9,2,38698.28,13.23,2.59,237.26,9.75,0
2015-10-12,41,7,57835.39,6.64,4.6,296.43,9.7,0
2015-10-13,35,10,19794.96,6.28,2.07,240.27,6.18,1
2015-10-14,19,1,52497.21,10.81,3.6,211.68,9.29,0
2015-10-15,48,13,29429.81,17.85,4.33,225.05,5.31,0
2015-10-16,16,1,35463.95,35.04,2.71,242.48,5.78,0
2015-10-17,3,5,34773.89,3.58,4.12,260.3,8.06,0
2015-10-18,20,16,29850.0,36.61,4.16,261.81,9.3,0
2015-10-19,24,15,24055.84,37.02,3.91,275.88,5.39,1
2015-10-20,33,17,81067.81,29.09,3.09,264.79,9.11,1
2015-10-21,24,16,47262.93,36.01,4.36,249.15,11.66,1
2015-10-22,11,13,31438.66,30.8,3.89,203.02,7.44,0
2015-10-23,49,11,41568.14,21.13,3.77,269.5,6.66,0
2015-10-24,8,17,50549.92,24.03,4.46,208.55,5.09,0
2015-10-25,36,17,44319.58,25.13,2.73,246.88,6.21,0
2015-10-26,38,2,30997.37,5.08,2.7,289.64,7.76,0
2015-10-27,40,13,36511.52,7.72,3.16,259.69,11.5,0
2015-10-28,20,14,67785.75,20.93,2.22,219.9,5.35,0
2015-10-29,35,11,28959.31,4.61,3.01,280.8,5.08,0
2015-10-30,48,10,20045.44,38.6,3.22,230.04,11.65,0
2015-10-31,25,3,44180.68,20.29,3.49,257.73,8.45,0
2015-11-01,35,17,21024.25,15.2,2.76,263.58,9.62,1
2015-11-02,25,15,36353.4,6.3,4.72,273.11,10.47,0
2015-11-03,29,9,31220.94,16.66,2.86,206.5,3.74,0
2015-11-04,18,10,31352.17,12.1,4.55,285.43,7.36,0
2015-11-05,46,8,51042.95,3.52,3.33,211.39,4.26,0
2015-11-06,18,13,53855.85,38.68,4.15,209.45,8.62,0
2015-11-07,2,18,37911.48,10.6,2.33,245.69,11.58,0
2015-11-08,35,5,48584.27,27.62,3.63,237.22,3.51,0
2015-11-09,16,6,37164.19,3.65,4.88,205.46,5.47,1
2015-11-10,41,17,56012.58,36.53,4.0,216.6,12.0,0
2015-11-11,36,11,27835.04,23.63,4.46,243.92,3.05,0
2015-11-12,33,16,52478.61,26.27,2.78,282.91,4.26,0
2015-11-13,4,9,53616.21,31.27,4.4,212.13,3.73,0
2015-11-14,33,2,85039.69,24.24,3.05,210.45,9.88,0
2015-11-15,14,5,23683.35,2.84,3.46,280.48,9.76,1
2015-11-16,21,1,89836.41,17.18,2.56,249.23,10.0,0
2015-11-17,48,4,61350.27,10.48,3.46,236.02,9.97,0
2015-11-18,20,4,77409.72,19.47,3.55,246.14,10.52,0
2015-11-19,8,3,63578.98,16.17,3.87,241.08,9.96,0
2015-11-20,7,9,35846.9,33.06,4.61,278.19,7.35,0
2015-11-21,3,12,59867.6,9.88,2.91,200.93,9.71,0
2015-11-22,17,10,40015.21,8.05,4.95,243.32,8.38,1
2015-11-23,33,2,48677.83,38.32,4.54,215.89,6.3,0
2015-11-24,48,11,32379.72,37.98,3.21,230.83,10.53,0
2015-11-25,12,10,39819.54,39.74,2.68,211.22,10.09,0
2015-11-26,22,6,63454.65,22.74,2.21,242.7,4.56,0
2015-11-27,22,18,56569.35,4.53,2.7,264.33,3.22,0
2015-11-28,46,2,65363.45,35.21,4.65,266.16,5.84,0
2015-11-29,30,2,29032.82,5.8,2.88,279.67,6.63,0
2015-11-30,38,10,21943.39,6.22,2.41,281.5,4.57,0
2015-12-01,38,16,66525.74,7.74,2.07,259.77,10.7,0
2015-12-02,45,12,65415.09,26.14,2.89,235.31,3.3,0
2015-12-03,8,1,53173.06,4.29,2.65,205.13,7.35,0
2015-12-04,27,8,56288.38,31.13,2.31,203.59,3.5,0
2015-12-05,27,16,62975.57,2.33,4.85,211.33,7.83,0
2015-12-06,34,18,52722.86,4.42,2.8,298.38,7.17,0
2015-12-07,21,13,58050.01,17.38,2.02,278.6,10.02,0
2015-12-08,30,15,62222.34,15.17,4.83,240.49,9.21,0
2015-12-09,33,12,48597.28,39.59,3.74,246.62,10.6,0
2015-12-10,28,8,44816.08,38.67,2.25,273.74,7.9,0
2015-12-11,47,10,55730.8,7.59,2.09,251.44,10.4,0
2015-12-12,33,14,83969.21,37.87,2.32,236.04,9.47,0
2015-12-13,5,5,37284.75,27.69,3.77,234.96,10.02,0
2015-12-14,48,18,43538.9,16.35,2.19,220.96,8.41,1
2015-12-15,19,19,23653.84,29.59,3.7,288.56,9.48,0
2015-12-16,4,15,56522.05,36.01,3.96,241.42,6.62,0
2015-12-17,35,6,42050.99,7.21,2.44,275.24,3.76,0
2015-12-18,49,11,28995.01,7.84,3.47,257.38,6.75,0
2015-12-19,17,11,49046.14,16.35,4.89,275.41,4.56,0
2015-12-20,44,18,72419.47,6.77,4.51,232.09,8.66,0
2015-12-21,28,18,44719.61,14.42,4.17,275.2,5.37,0
2015-12-22,30,10,46092.29,25.83,3.55,279.0,11.62,0
2015-12-23,29,2,71835.6,32.51,3.18,210.43,5.44,0
2015-12-24,46,9,49924.88,12.08,3.35,209.15,3.88,0
2015-12-25,6,14,31885.4,11.27,4.29,298.55,10.93,0
2015-12-26,35,19,60334.99,31.19,3.66,211.8,6.73,0
2015-12-27,41,10,66868.9,15.24,4.29,268.48,6.2,1
2015-12-28,37,4,46994.37,32.74,4.91,274.78,10.97,0
2015-12-29,24,6,51957.4,39.74,3.92,206.35,8.88,0
2015-12-30,29,14,30332.18,39.19,3.81,274.65,7.79,0
2015-12-31,49,4,36941.19,26.51,3.22,241.95,5.94,0
2016-01-01,46,15,45004.41,15.01,2.59,227.47,5.63,0
2016-01-02,31,16,51153.96,2.62,3.12,266.53,8.22,0
2016-01-03,35,7,40703.78,29.52,3.56,283.31,7.51,1
2016-01-04,33,17,44438.31,39.12,2.1,257.28,5.48,0
2016-01-05,21,19,48142.74,2.72,3.43,287.06,4.66,0
2016-01-06,32,19,35029.62,0.25,4.59,202.24,10.36,0
2016-01-07,23,17,45967.99,33.27,4.93,273.86,9.19,0
2016-01-08,33,6,67339.1,4.09,4.57,216.94,11.94,0
2016-01-09,3,11,41059.66,3.26,2.52,228.61,7.64,0
2016-01-10,18,16,36486.04,36.41,2.47,257.23,11.95,0
2016-01-11,25,8,81276.87,3.18,3.18,227.44,7.15,0
2016-01-12,42,11,53384.04,4.56,2.68,216.82,7.81,0
2016-01-13,31,7,38407.43,22.78,4.03,288.55,4.88,0
2016-01-14,3,19,59652.51,30.27,2.25,290.67,4.35,0
2016-01-15,40,10,53841.61,15.98,3.33,203.64,11.46,0
2016-01-16,46,9,41447.2,16.82,2.84,250.01,11.83,0
2016-01-17,24,4,49265.72,25.31,3.79,220.37,7.93,1
2016-01-18,32,15,45628.41,20.22,4.39,286.34,5.45,0
2016-01-19,47,13,64851.25,0.75,4.77,246.25,11.56,0
2016-01-20,22,2,60220.14,4.54,4.89,247.85,10.17,0
2016-01-21,23,2,17855.83,23.26,3.05,262.75,4.62,0
2016-01-22,2,16,78543.63,31.75,4.57,205.56,5.69,0
2016-01-23,27,9,45675.25,30.52,3.78,212.73,3.04,0
2016-01-24,42,13,75835.45,29.6,4.08,249.84,8.24,0
2016-01-25,2,3,60740.77,30.85,4.55,296.67,7.74,0
2016-01-26,26,9,53723.45,1.78,2.39,284.36,4.48,0
2016-01-27,17,13,48587.56,35.8,4.84,288.94,6.05,0
2016-01-28,40,2,91381.66,35.57,3.64,213.72,11.45,0
2016-01-29,33,8,45925.26,21.28,3.01,295.86,8.84,0
2016-01-30,9,9,39930.03,9.94,3.02,273.0,10.77,0
2016-01-31,43,16,41280.36,23.69,4.25,232.57,10.54,0
2016-02-01,48,2,50015.89,22.32,4.04,286.45,11.29,0
2016-02-02,39,6,49989.71,8.92,4.19,274.73,3.37,0
2016-02-03,29,8,65060.36,24.13,2.76,273.65,5.36,0
2016-02-04,42,5,61373.74,31.89,2.51,273.46,6.74,0
2016-02-05,26,9,61392.36,32.24,4.17,280.09,8.76,0
2016-02-06,35,1,46576.43,2.39,2.9,294.85,8.47,0
2016-02-07,25,9,60147.83,7.89,2.67,213.69,5.21,1
2016-02-08,24,10,61719.45,26.73,2.64,299.95,4.74,0
2016-02-09,13,4,48810.11,34.39,2.45,287.23,6.94,0
2016-02-10,7,3,54188.0,20.85,3.28,244.16,5.26,0
2016-02-11,36,10,61700.47,28.3,2.78,215.74,11.69,0
2016-02-12,45,15,53167.48,0.84,4.68,245.38,11.69,1
